偏移	大小	类型	字符串
00014001	1c	A	"pSCSCSCSCSCpRBSCpRBSCpRB
00014022	05	A	[Bpp
0001402b	2f	A	`)ARARARARARARARARARARARARARARARARARARARBRB`Ap
0001405b	09	A	RARARASAp
0001406b	60	A	RARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARARA`-ASDp
000140cc	1a	A	p `BASASASBXBUApp0SCRESAp
000140ef	20	A	RDSD`ASASBZBUApp0YCREYCRE\CRD`
00014111	05	A	DpPS0
00014118	17	A	REpp p RCRCp p RCRCp p
00014133	17	A	pRBppSEpRBppSEpp
00014151	27	A	@_OBJC_CLASS_$_UNUserNotificationCenter
0001417f	2a	A	@_OBJC_CLASS_$_XRInternalizedSettingsStore
000141ae	25	A	@_OBJC_CLASS_$_PFTDocumentController
000141e0	1f	A	@_OBJC_CLASS_$_PFTTraceDocument
00014203	1e	A	@_OBJC_CLASS_$_XRActionContext
00014226	25	A	@_OBJC_CLASS_$_XRActionContextManager
00014258	2b	A	@_OBJC_CLASS_$_XRLaunchIssuesViewController
00014287	26	A	@_OBJC_CLASS_$_XRPreferencesController
000142b1	1a	A	@_OBJC_CLASS_$_PFTProcess
000142d0	1a	A	@_OBJC_CLASS_$_XRAnalytics
000142f7	28	A	@_OBJC_CLASS_$_XRDSYMDownloadCoordinator
0001432c	1e	A	@_OBJC_CLASS_$_XRKeyedArchiver
0001434e	1c	A	@_OBJC_CLASS_$_XRLocalDevice
0001436f	30	A	@_OBJC_CLASS_$_XRPackageConflictErrorAccumulator
000143ac	1e	A	@_OBJC_CLASS_$_XRPluginManager
000143d7	16	A	@_OBJC_CLASS_$_XRTheme
000143f2	24	A	@_OBJC_CLASS_$_XRToolchainDylibCache
00014423	16	A	@_OBJC_CLASS_$_XRTrace
0001443e	27	A	@_OBJC_CLASS_$_XRUniqueIssueAccumulator
00014472	21	A	@_XRUserInitiatedQuitNotification
00014497	25	A	@_OBJC_CLASS_$_DTResponsiveUIManager
000144c1	24	A	@_OBJC_CLASS_$_XRAuthorizationModel
000144e9	27	A	@_OBJC_CLASS_$_XRDockMenuViewController
0001451d	21	A	@_OBJC_CLASS_$_XRPreferencesModel
00014540	18	A	@_OBJC_CLASS_$_XRUISpace
0001455d	1c	A	@_NSLocalizedDescriptionKey
0001457d	1d	A	@_OBJC_CLASS_$_NSCharacterSet
0001459f	25	A	@_OBJC_CLASS_$_NSConstantDoubleNumber
000145c9	26	A	@_OBJC_CLASS_$_NSConstantIntegerNumber
000145fc	2e	A	@_OBJC_CLASS_$_NSDistributedNotificationCenter
0001462f	16	A	@_OBJC_CLASS_$_NSError
0001464a	1c	A	@_OBJC_CLASS_$_NSFileManager
00014673	23	A	@_OBJC_CLASS_$_NSNotificationCenter
0001469a	17	A	@_OBJC_CLASS_$_NSNumber
000146b5	1c	A	@_OBJC_CLASS_$_NSProcessInfo
000146de	17	A	@_OBJC_CLASS_$_NSString
00014702	15	A	@_OBJC_CLASS_$_NSTask
0001471c	18	A	@_OBJC_CLASS_$_NSObject
00014739	1b	A	@_OBJC_METACLASS_$_NSObject
00014766	17	A	@___objc_personality_v0
00014781	13	A	@__objc_empty_cache
0001479c	0e	A	@_objc_msgSend
000147ae	0e	A	@_objc_release
000147be	0d	A	@_objc_retain
000147cd	19	A	@__NSConcreteGlobalBlock
000147ee	17	A	@__NSConcreteStackBlock
00014812	13	A	@___stack_chk_guard
00014829	11	A	@__os_log_default
0001483c	11	A	@dyld_stub_binder
00014851	08	A	@_NSApp
00014866	16	A	@_OBJC_CLASS_$_NSAlert
00014881	1c	A	@_OBJC_CLASS_$_NSApplication
000148a5	23	A	@_OBJC_CLASS_$_NSDocumentController
000148d5	19	A	@_OBJC_CLASS_$_NSMenuItem
000148f2	1b	A	@_OBJC_CLASS_$_NSPasteboard
00014911	1a	A	@_OBJC_CLASS_$_NSResponder
00014930	23	A	@_OBJC_CLASS_$_NSRunningApplication
00014960	17	A	@_OBJC_CLASS_$_NSWindow
00014987	21	A	@_OBJC_CLASS_$_NSWindowController
000149ac	1a	A	@_OBJC_CLASS_$_NSWorkspace
000149d3	20	A	@_OBJC_METACLASS_$_NSApplication
000149f8	1e	A	@_OBJC_METACLASS_$_NSResponder
00014a1b	1b	A	@_OBJC_METACLASS_$_NSWindow
00014a3a	25	A	@_OBJC_METACLASS_$_NSWindowController
00014a63	17	A	@_OBJC_CLASS_$_NSArray
00014a87	1e	A	@_OBJC_CLASS_$_NSConstantArray
00014aaa	1b	A	@_OBJC_CLASS_$_NSDictionary
00014aca	22	A	@_OBJC_CLASS_$_NSMutableOrderedSet
00014af9	1b	A	@_OBJC_CLASS_$_NSMutableSet
00014b18	14	A	@_OBJC_CLASS_$_NSURL
00014b39	1d	A	@_OBJC_CLASS_$_NSUserDefaults
00014b5a	22	A	@___CFConstantStringClassReference
00014b84	14	A	@___NSArray0__struct
00014baa	1b	A	@_CFPreferencesSetAppValue
00014bcc	31	A	@_CGSEventSetAppIsUnresponsiveNotificationTimeout
00014c04	15	A	@_CGSMainConnectionID
00014c20	17	A	@_CGSRegisterNotifyProc
00014c3e	15	A	@_CGSRemoveNotifyProc
00014c56	16	A	s(@_DTIXAssertRecover
00014c6f	2d	A	s0@_DVTCheckForUndeallocatedObjectsWithBlock
00014c9f	16	A	s8@_NSApplicationMain
00014cb8	0a	A	s@@_NSLog
00014cc5	15	A	sH@_NSPerformService
00014cdd	22	A	sP@_PFTInitializeSharedFrameworks
00014d02	16	A	sX@_PFTPackageManager
00014d1b	19	A	s`@__Block_object_assign
00014d37	1a	A	sh@__Block_object_dispose
00014d54	13	A	sp@__Unwind_Resume
00014d6a	11	A	sx@___assert_rtn
00014d81	0a	A	@___error
00014d91	13	A	@___stack_chk_fail
00014daa	15	A	@__os_log_error_impl
00014dc5	0f	A	@__os_log_impl
00014dda	08	A	@_abort
00014de8	10	A	@_dispatch_once
00014dfe	09	A	@_getpid
00014e0d	0d	A	@_objc_alloc
00014e20	12	A	@_objc_alloc_init
00014e38	1a	A	@_objc_autoreleasePoolPop
00014e58	1b	A	@_objc_autoreleasePoolPush
00014e79	1e	A	@_objc_autoreleaseReturnValue
00014e9d	1b	A	@_objc_enumerationMutation
00014ebe	15	A	@_objc_msgSendSuper2
00014ed9	11	A	@_objc_opt_class
00014ef0	19	A	@_objc_opt_isKindOfClass
00014f0f	0f	A	@_objc_opt_new
00014f24	24	A	@_objc_retainAutoreleaseReturnValue
00014f4e	25	A	@_objc_retainAutoreleasedReturnValue
00014f79	13	A	@_objc_storeStrong
00014f92	2a	A	@_objc_unsafeClaimAutoreleasedReturnValue
00014fc2	10	A	@_os_log_create
00014fd8	16	A	@_os_log_type_enabled
00014ff4	0e	A	@_sel_isEqual
00015008	0c	A	@_setrlimit
0001501a	13	A	__mh_execute_header
0001595c	13	A	__mh_execute_header
00015970	19	A	_CFPreferencesSetAppValue
0001598a	30	A	_CGSEventSetAppIsUnresponsiveNotificationTimeout
000159bb	14	A	_CGSMainConnectionID
000159d0	16	A	_CGSRegisterNotifyProc
000159e7	14	A	_CGSRemoveNotifyProc
000159fc	12	A	_DTIXAssertRecover
00015a0f	29	A	_DVTCheckForUndeallocatedObjectsWithBlock
00015a39	06	A	_NSApp
00015a40	12	A	_NSApplicationMain
00015a53	1a	A	_NSLocalizedDescriptionKey
00015a6e	06	A	_NSLog
00015a75	11	A	_NSPerformService
00015a87	23	A	_OBJC_CLASS_$_DTResponsiveUIManager
00015aab	15	A	_OBJC_CLASS_$_NSAlert
00015ac1	1b	A	_OBJC_CLASS_$_NSApplication
00015add	15	A	_OBJC_CLASS_$_NSArray
00015af3	1c	A	_OBJC_CLASS_$_NSCharacterSet
00015b10	1d	A	_OBJC_CLASS_$_NSConstantArray
00015b2e	24	A	_OBJC_CLASS_$_NSConstantDoubleNumber
00015b53	25	A	_OBJC_CLASS_$_NSConstantIntegerNumber
00015b79	1a	A	_OBJC_CLASS_$_NSDictionary
00015b94	2d	A	_OBJC_CLASS_$_NSDistributedNotificationCenter
00015bc2	22	A	_OBJC_CLASS_$_NSDocumentController
00015be5	15	A	_OBJC_CLASS_$_NSError
00015bfb	1b	A	_OBJC_CLASS_$_NSFileManager
00015c17	18	A	_OBJC_CLASS_$_NSMenuItem
00015c30	21	A	_OBJC_CLASS_$_NSMutableOrderedSet
00015c52	1a	A	_OBJC_CLASS_$_NSMutableSet
00015c6d	22	A	_OBJC_CLASS_$_NSNotificationCenter
00015c90	16	A	_OBJC_CLASS_$_NSNumber
00015ca7	16	A	_OBJC_CLASS_$_NSObject
00015cbe	1a	A	_OBJC_CLASS_$_NSPasteboard
00015cd9	1b	A	_OBJC_CLASS_$_NSProcessInfo
00015cf5	19	A	_OBJC_CLASS_$_NSResponder
00015d0f	22	A	_OBJC_CLASS_$_NSRunningApplication
00015d32	16	A	_OBJC_CLASS_$_NSString
00015d49	14	A	_OBJC_CLASS_$_NSTask
00015d5e	13	A	_OBJC_CLASS_$_NSURL
00015d72	1c	A	_OBJC_CLASS_$_NSUserDefaults
00015d8f	16	A	_OBJC_CLASS_$_NSWindow
00015da6	20	A	_OBJC_CLASS_$_NSWindowController
00015dc7	19	A	_OBJC_CLASS_$_NSWorkspace
00015de1	23	A	_OBJC_CLASS_$_PFTDocumentController
00015e05	18	A	_OBJC_CLASS_$_PFTProcess
00015e1e	1e	A	_OBJC_CLASS_$_PFTTraceDocument
00015e3d	26	A	_OBJC_CLASS_$_UNUserNotificationCenter
00015e64	1d	A	_OBJC_CLASS_$_XRActionContext
00015e82	24	A	_OBJC_CLASS_$_XRActionContextManager
00015ea7	19	A	_OBJC_CLASS_$_XRAnalytics
00015ec1	22	A	_OBJC_CLASS_$_XRAuthorizationModel
00015ee4	27	A	_OBJC_CLASS_$_XRDSYMDownloadCoordinator
00015f0c	26	A	_OBJC_CLASS_$_XRDockMenuViewController
00015f33	29	A	_OBJC_CLASS_$_XRInternalizedSettingsStore
00015f5d	1d	A	_OBJC_CLASS_$_XRKeyedArchiver
00015f7b	2a	A	_OBJC_CLASS_$_XRLaunchIssuesViewController
00015fa6	1b	A	_OBJC_CLASS_$_XRLocalDevice
00015fc2	2f	A	_OBJC_CLASS_$_XRPackageConflictErrorAccumulator
00015ff2	1d	A	_OBJC_CLASS_$_XRPluginManager
00016010	25	A	_OBJC_CLASS_$_XRPreferencesController
00016036	20	A	_OBJC_CLASS_$_XRPreferencesModel
00016057	15	A	_OBJC_CLASS_$_XRTheme
0001606d	23	A	_OBJC_CLASS_$_XRToolchainDylibCache
00016091	15	A	_OBJC_CLASS_$_XRTrace
000160a7	17	A	_OBJC_CLASS_$_XRUISpace
000160bf	26	A	_OBJC_CLASS_$_XRUniqueIssueAccumulator
000160e6	1f	A	_OBJC_METACLASS_$_NSApplication
00016106	1a	A	_OBJC_METACLASS_$_NSObject
00016121	1d	A	_OBJC_METACLASS_$_NSResponder
0001613f	1a	A	_OBJC_METACLASS_$_NSWindow
0001615a	24	A	_OBJC_METACLASS_$_NSWindowController
0001617f	1e	A	_PFTInitializeSharedFrameworks
0001619e	12	A	_PFTPackageManager
000161b1	20	A	_XRUserInitiatedQuitNotification
000161d2	15	A	__Block_object_assign
000161e8	16	A	__Block_object_dispose
000161ff	17	A	__NSConcreteGlobalBlock
00016217	16	A	__NSConcreteStackBlock
0001622e	0f	A	__Unwind_Resume
0001623e	21	A	___CFConstantStringClassReference
00016260	13	A	___NSArray0__struct
00016274	0d	A	___assert_rtn
00016282	08	A	___error
0001628b	16	A	___objc_personality_v0
000162a2	11	A	___stack_chk_fail
000162b4	12	A	___stack_chk_guard
000162c7	12	A	__objc_empty_cache
000162da	10	A	__os_log_default
000162eb	13	A	__os_log_error_impl
000162ff	0d	A	__os_log_impl
0001630d	06	A	_abort
00016314	0e	A	_dispatch_once
00016323	07	A	_getpid
0001632b	0b	A	_objc_alloc
00016337	10	A	_objc_alloc_init
00016348	18	A	_objc_autoreleasePoolPop
00016361	19	A	_objc_autoreleasePoolPush
0001637b	1c	A	_objc_autoreleaseReturnValue
00016398	19	A	_objc_enumerationMutation
000163b2	0d	A	_objc_msgSend
000163c0	13	A	_objc_msgSendSuper2
000163d4	0f	A	_objc_opt_class
000163e4	17	A	_objc_opt_isKindOfClass
000163fc	0d	A	_objc_opt_new
0001640a	0d	A	_objc_release
00016418	0c	A	_objc_retain
00016425	22	A	_objc_retainAutoreleaseReturnValue
00016448	23	A	_objc_retainAutoreleasedReturnValue
0001646c	11	A	_objc_storeStrong
0001647e	28	A	_objc_unsafeClaimAutoreleasedReturnValue
000164a7	0e	A	_os_log_create
000164b6	14	A	_os_log_type_enabled
000164cb	0c	A	_sel_isEqual
000164d8	0a	A	_setrlimit
000164e3	10	A	dyld_stub_binder
000164f4	0e	A	radr://5614542
0001659c	18	A	com.apple.dt.Instruments
000165b5	0a	A	59GAB85EFG
0001667c	05	A	m-_+
00016747	05	A	P(:|}
00016786	05	A	/xzE
00016793	07	A	cXno
000167fd	06	A	aRv%)
000168c2	05	A	K]V"@
00016966	05	A	BrZ{4
000169ab	19	A	com.apple.dt.Instruments
000169cf	27	A	b<?xml version="1.0" encoding="UTF-8"?>
000169f7	66	A	<!DOCTYPE plist PUBLIC "-//Apple//DTD PLIST 1.0//EN" "http://www.apple.com/DTDs/PropertyList-1.0.dtd">
00016a5e	15	A	<plist version="1.0">
00016a74	06	A	<dict>
00016a7c	28	A	<key>com.apple.PairingManager.Read</key>
00016aa6	07	A	<true/>
00016aaf	2e	A	<key>com.apple.PairingManager.RemovePeer</key>
00016adf	07	A	<true/>
00016ae8	29	A	<key>com.apple.PairingManager.Write</key>
00016b13	07	A	<true/>
00016b1c	31	A	<key>com.apple.private.CoreSimulator.client</key>
00016b4f	07	A	<true/>
00016b58	36	A	<key>com.apple.private.dt.instrumentsxpc.allowed</key>
00016b90	07	A	<true/>
00016b99	2a	A	<key>com.apple.private.logging.admin</key>
00016bc5	07	A	<true/>
00016bce	2f	A	<key>com.apple.private.logging.diagnostic</key>
00016bff	07	A	<true/>
00016c08	2b	A	<key>com.apple.private.logging.stream</key>
00016c35	07	A	<true/>
00016c3e	3d	A	<key>com.apple.private.mobile_storage.remote.allowedSPI</key>
00016c7d	07	A	<true/>
00016c86	2e	A	<key>com.apple.private.pluginkit.manager</key>
00016cb6	07	A	<true/>
00016cbf	26	A	<key>com.apple.private.tcc.allow</key>
00016ce7	07	A	<array>
00016cf1	38	A	<string>kTCCServiceSystemPolicyRemovableVolumes</string>
00016d2c	36	A	<string>kTCCServiceSystemPolicyNetworkVolumes</string>
00016d65	35	A	<string>kTCCServiceSystemPolicyDesktopFolder</string>
00016d9d	37	A	<string>kTCCServiceSystemPolicyDownloadsFolder</string>
00016dd7	37	A	<string>kTCCServiceSystemPolicyDocumentsFolder</string>
00016e10	08	A	</array>
00016e19	07	A	</dict>
00016e21	08	A	</plist>
00016e39	1e	A	com.apple.PairingManager.Read
00016e5d	1f	A	com.apple.PairingManager.Write
00016e82	20	A	com.apple.private.logging.admin
00016ea8	21	A	 com.apple.private.logging.stream
00016ecf	24	A	#com.apple.PairingManager.RemovePeer
00016ef9	24	A	#com.apple.private.pluginkit.manager
00016f23	25	A	$com.apple.private.logging.diagnostic
00016f4e	27	A	&com.apple.private.CoreSimulator.client
00016f7b	2c	A	+com.apple.private.dt.instrumentsxpc.allowed
00016fad	33	A	2com.apple.private.mobile_storage.remote.allowedSPI
00016fe7	1d	A	com.apple.private.tcc.allow0
00017007	28	A	'kTCCServiceSystemPolicyRemovableVolumes
00017030	26	A	%kTCCServiceSystemPolicyNetworkVolumes
00017057	25	A	$kTCCServiceSystemPolicyDesktopFolder
0001707d	27	A	&kTCCServiceSystemPolicyDownloadsFolder
000170a5	27	A	&kTCCServiceSystemPolicyDocumentsFolder
00017145	0e	A	Apple Inc.1&0$
00017159	22	A	Apple Certification Authority10
00017182	10	A	Apple Root CA0
00017193	0e	A	111024173941Z
000171a2	10	A	261024173941Z01
000171c9	0e	A	Apple Inc.1&0$
000171dd	22	A	Apple Certification Authority1301
00017205	2c	A	*Apple Code Signing Certification Authority0
00017297	07	A	drm|iGa
0001731b	07	A	YN]e3'
000173da	05	A	/0-0+
000173e4	27	A	%http://www.apple.com/appleca/root.crl0
000174c7	06	A	;Qb;"
0001755e	0e	A	Apple Inc.1&0$
00017572	22	A	Apple Certification Authority1301
0001759a	2e	A	*Apple Code Signing Certification Authority0
000175c9	0e	A	201029183238Z
000175d8	10	A	261024173941Z0V1
000175ff	0e	A	Apple Inc.10
00017614	12	A	Apple Software10
0001762d	11	A	Software Signing0
00017745	07	A	Ztd9?Yn
000177c7	6e	A	kThis certificate is to be used exclusively for functions internal to Apple Products and/or Apple processes.0
00017853	05	A	.0,0*
0001785d	27	A	$http://crl.apple.com/codesigning.crl0
000178fa	06	A	nJfW?U
00017a0f	0e	A	Apple Inc.1&0$
00017a23	22	A	Apple Certification Authority10
00017a4c	10	A	Apple Root CA0
00017a5d	0e	A	060425214036Z
00017a6c	10	A	350209214036Z0b1
00017a93	0e	A	Apple Inc.1&0$
00017aa7	22	A	Apple Certification Authority10
00017ad0	0e	A	Apple Root CA0
00017b66	08	A	d5#KY
00017bc9	07	A	LE~LkP
00017c9b	21	A	https://www.apple.com/appleca/0
00017cce	b4	A	Reliance on this certificate by any party assumes acceptance of the then applicable standard terms and conditions of use, certificate policy and certification practice statements.0
00017ebd	0e	A	Apple Inc.1&0$
00017ed1	22	A	Apple Certification Authority1301
00017ef9	2b	A	*Apple Code Signing Certification Authority
00017fe0	27	A	<?xml version="1.0" encoding="UTF-8"?>
00018008	66	A	<!DOCTYPE plist PUBLIC "-//Apple//DTD PLIST 1.0//EN" "http://www.apple.com/DTDs/PropertyList-1.0.dtd">
0001806f	15	A	<plist version="1.0">
00018085	06	A	<dict>
0001808d	13	A	<key>cdhashes</key>
000180a2	07	A	<array>
000180ac	06	A	<data>
000180b5	1c	A	6yV2m+vg83Pnsv5NHlaCkWC9tgg=
000180d4	07	A	</data>
000180dd	08	A	</array>
000180e6	07	A	</dict>
000180ee	08	A	</plist>
00018163	06	A	uYnQ-
00018190	05	A	}15h1
